accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-1.13,-0.43,-9.73,-0.1875,0.0625,0,10.3125,-7,177,1
-1.13,-0.43,-9.71,0.1875,0.125,0,10.3125,-7,177,1
-1.14,-0.42,-9.77,-0.0625,-0.25,0,10.3125,-7,177,1
-1.13,-0.43,-9.8,0.25,-0.0625,-0.0625,10.3125,-7,177,1
-1.19,-0.43,-9.66,-0.5,-0.125,0.25,10.3125,-7,176.9375,1
-1.14,-0.44,-9.77,0.375,0.375,-0.1875,10.3125,-7,177,1
-1.15,-0.44,-9.75,0,0.0625,-0.0625,10.3125,-7,177,1
-1.1,-0.43,-9.75,0.625,0.125,-0.125,10.3125,-7,177,1
-1.14,-0.42,-9.73,0.1875,-0.3125,0.3125,10.3125,-7,176.9375,1
-1.13,-0.42,-9.73,0.0625,0.0625,-0.0625,10.3125,-7,176.9375,1
-1.12,-0.43,-9.84,-0.0625,-0.125,-0.0625,10.3125,-7,176.9375,1
-1.13,-0.43,-9.71,-0.1875,-0.0625,0,10.3125,-7,176.9375,1
-1.13,-0.43,-9.72,-0.0625,0.125,0.1875,10.3125,-7,176.9375,1
-1.13,-0.41,-9.71,0.25,0,-0.0625,10.3125,-7,176.9375,1
-1.12,-0.45,-9.87,0.0625,0.5625,-0.125,10.3125,-7.0625,176.9375,1
-1.15,-0.4,-9.73,-0.0625,0.375,0.125,10.3125,-7,176.9375,1
-1.11,-0.43,-9.76,0,0.3125,-0.0625,10.3125,-7,176.9375,1
-1.15,-0.43,-9.75,0.25,0.25,0,10.3125,-6.9375,176.9375,1
-1.13,-0.42,-9.73,0.1875,0.0625,0.0625,10.3125,-6.9375,176.9375,1
-1.36,-0.44,-9.69,1.8125,-5.25,-0.9375,10.4375,-8.5,176.6875,1
-0.79,-0.45,-9.13,1.5625,6.3125,-3.25,10.375,-7.9375,177.3125,1
-0.05,-1.02,-9.57,-13.125,6.5,0.125,8.25,-2.5,175.9375,1
-1.27,-0.55,-9.51,-1.3125,3.625,-0.5,10.4375,-8.5,176.5,1
-1.09,-0.49,-9.7,0.75,-0.875,-0.25,10.125,-6.5625,176.5,1
-1.06,-0.45,-9.93,-0.0625,-0.3125,0,10.125,-6.5625,176.625,1
-1.16,-0.55,-9.9,0.3125,0.6875,-0.75,10.0625,-6.6875,176.5,1
-1.14,-0.52,-9.66,0.1875,1.1875,-0.375,10.125,-6.8125,176.375,1
-1.13,-0.49,-9.77,-0.125,0.375,-0.4375,10.125,-6.8125,176.375,1
-1.13,-0.53,-9.61,-0.0625,-0.4375,0.3125,10.125,-6.875,176.0625,1
-1.28,-0.45,-9.78,0.8125,4.3125,-1.125,10.3125,-7.6875,176.5625,1
-1.19,-0.52,-9.75,-0.0625,1.5625,-0.4375,10.25,-7,176.3125,1
-1.15,-0.47,-9.71,0.1875,0.25,0.0625,10.25,-7.125,176.375,1
-1.18,-0.49,-9.77,0.25,-0.1875,0,10.25,-7.125,176.375,1
-1.22,-0.48,-9.75,-0.4375,0.375,-0.125,10.25,-7.125,176.375,1
-1.12,-0.48,-9.73,-0.0625,0.3125,-0.0625,10.25,-6.9375,176.375,0
-1.12,-0.47,-9.77,0.375,0.8125,-0.125,10.1875,-6.9375,176.375,0
-1.1,-0.47,-9.79,-0.25,-0.125,0,10.1875,-6.875,176.375,0
-0.99,-0.49,-9.71,0.625,-0.875,0,10.1875,-6.6875,176.3125,0
-1.03,-0.51,-9.74,-0.125,0.8125,-0.125,10.1875,-6.6875,176.25,0
-1.15,-0.48,-9.7,-0.5625,-2.0625,0.875,10.1875,-7.1875,176.3125,0
-1.28,-0.43,-9.81,-0.8125,0.125,0.125,10.3125,-8.0625,176.625,0
-1.05,-0.5,-9.95,0.4375,1.9375,-0.6875,9.9375,-6.5625,176.3125,0
