accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
1.24,1.06,-9.61,-7.0625,9.125,0.1875,271,7.5625,-173.8125,0
0.61,1.08,-9.71,-12.5625,-9.6875,-2.3125,271,4.0625,-173.375,0
1.28,1.17,-9.81,0.5,1.25,0.6875,271,7.125,-173.875,-1
0.6,0.89,-9.74,-2.5,-2.4375,-0.5625,270.625,4.3125,-174.3125,-1
0.4,1.09,-9.78,-4.3125,0.3125,0.375,270.125,3.5,-173.6875,-1
0.78,1.16,-9.83,0.75,2,0.5625,270.3125,4.75,-173.3125,-1
0.78,1.35,-9.79,-0.8125,0.1875,-0.0625,270.3125,4.375,-173.3125,-1
0.72,1.17,-9.81,0.375,0.625,0,270.3125,4.375,-173.3125,-1
0.69,1.15,-9.91,0.4375,-0.5,0.125,270.3125,4.375,-173.3125,-1
0.66,1.1,-9.68,2.5,1.4375,0,270.3125,4.375,-173.5,-1
0.67,1.07,-9.78,0.125,-0.125,0,270.3125,4.375,-173.4375,-1
0.67,1.15,-9.87,-0.3125,0.125,0.0625,270.3125,4.375,-173.4375,-1
0.67,1.16,-9.73,0.0625,0.3125,-0.1875,270.3125,4.375,-173.4375,-1
0.69,1.13,-9.75,0.0625,-0.125,-0.0625,270.3125,4.375,-173.4375,-1
0.69,1.12,-9.85,0,0,0.0625,270.3125,4.375,-173.4375,-1
0.68,1.14,-9.74,0.125,0,0,270.3125,4.375,-173.4375,-1
0.67,1.15,-9.76,0.0625,-0.0625,0.0625,270.3125,4.375,-173.4375,-1
0.69,1.13,-9.84,-0.0625,-0.0625,-0.0625,270.3125,4.375,-173.4375,-1
0.69,1.14,-9.76,0.0625,0.0625,-0.125,270.3125,4.375,-173.4375,-1
0.67,1.15,-9.77,0.25,0.125,-0.125,270.3125,4.375,-173.4375,-1
0.69,1.15,-9.85,-0.0625,-0.25,-0.0625,270.3125,4.375,-173.4375,-1
0.71,1.16,-9.73,-0.0625,0.1875,0,270.3125,4.375,-173.4375,-1
0.67,1.11,-9.78,0.25,-0.125,0,270.3125,4.375,-173.4375,-1
0.68,1.13,-9.86,-0.1875,-0.0625,-0.0625,270.3125,4.375,-173.4375,-1
0.67,1.13,-9.75,0,0.125,-0.125,270.3125,4.375,-173.4375,-1
0.68,1.17,-9.79,-0.125,-0.125,-0.0625,270.3125,4.375,-173.4375,-1
0.67,1.16,-9.81,0.1875,-0.0625,0.0625,270.3125,4.375,-173.4375,-1
0.69,1.12,-9.79,0,0.125,0.0625,270.3125,4.375,-173.4375,-1
0.69,1.13,-9.75,-0.0625,-0.0625,0.0625,270.3125,4.375,-173.4375,-1
0.67,1.12,-9.8,-0.125,0,0,270.3125,4.375,-173.4375,-1
0.68,1.14,-9.73,-0.125,0,-0.0625,270.3125,4.375,-173.4375,-1
