accelX,accelY,accelZ,gyroX,gyroY,gyroZ,eulerX,eulerY,eulerZ,ground
-0.98,-0.5,-9.45,-0.0625,-0.5625,0.25,320.1875,-5.8125,177.0625,0
-0.98,-0.48,-9.51,0,0.125,0,320.1875,-5.8125,177.0625,0
-0.98,-0.5,-9.55,0.1875,0.125,0.125,320.1875,-5.8125,177.0625,0
-0.99,-0.47,-9.42,0.5,-0.375,0.0625,320.1875,-5.8125,177.0625,0
-0.97,-0.48,-9.4,0.125,-0.1875,0.125,320.1875,-5.8125,176.9375,0
-0.97,-0.46,-9.48,-0.3125,0.0625,0,320.1875,-5.8125,176.875,0
-0.88,-0.43,-9.55,0.25,-0.0625,0.25,320.1875,-5.625,177.125,0
-0.95,-0.42,-9.49,0.4375,-0.625,0.3125,320.1875,-5.5625,177.1875,0
-0.88,-0.39,-9.54,0,0,0.1875,320.1875,-5.5625,177.1875,0
-0.94,-0.51,-9.52,0.125,-0.5,0.3125,320.1875,-5.875,176.4375,0
-0.94,-0.49,-9.52,0.1875,-0.5625,0.25,320.1875,-5.9375,176.5625,0
-0.95,-0.5,-9.5,-0.125,-0.1875,0.3125,320.1875,-5.9375,176.5625,0
-0.95,-0.48,-9.49,0.5,-0.0625,0,320.1875,-5.9375,176.5625,0
-1,-0.48,-9.47,-0.5,1.375,-0.25,320.1875,-5.9375,176.4375,0
-0.95,-0.52,-9.51,-0.0625,0.0625,0,320.1875,-5.8125,176.4375,0
-0.95,-0.55,-9.6,0.4375,-0.125,0,320.1875,-5.8125,176.4375,0
-0.97,-0.51,-9.45,-0.25,0,0,320.1875,-5.875,176.4375,0
-0.94,-0.49,-9.49,-0.0625,0.0625,-0.1875,320.1875,-5.875,176.4375,0
-0.95,-0.48,-9.49,0.0625,0.125,-0.0625,320.1875,-5.875,176.4375,0
-0.95,-0.5,-9.57,0.0625,0,-0.0625,320.1875,-5.875,176.4375,0
-0.97,-0.5,-9.47,0.1875,-0.0625,0.0625,320.1875,-5.875,176.4375,0
